Hanging	Foot	Nlon	Nlat	Ndepth	Nphi	Re	Rn	Strike	Dip	Mo Rate
ECCR	JdFa	235.237	41.161	8.75	0.479	-22	-11.1	356	4.6	6.86E+15
ECCR	JdFa	235.217	41.369	8.75	0.479	-22	-11.6	356	4.7	6.83E+15
ECCR	JdFa	235.198	41.577	8.75	0.671	-22	-12.1	356	4.8	9.33E+15
SoCR	JdFa	235.179	41.785	8.75	0.671	-28	-14.2	356	4.9	9.11E+15
SoCR	JdFa	235.159	41.994	8.75	0.744	-28.2	-14.2	356.9	5	1.08E+16
SoCR	JdFa	235.141	42.244	8.75	0.744	-28.4	-14.3	356.9	5.1	1.16E+16
SoCR	JdFa	235.123	42.494	8.75	0.682	-28.6	-14.3	356.9	5.2	1.05E+16
SoCR	JdFa	235.104	42.744	8.75	0.682	-28.8	-14.3	356.9	5.3	1.03E+16
SoCR	JdFa	235.086	42.995	8.75	0.907	-29	-14.3	356.1	5.4	1.35E+16
SoCR	JdFa	235.062	43.245	8.75	0.907	-29.3	-14.3	356.1	5.4	1.33E+16
NoCR	JdFa	235.039	43.495	8.75	0.615	-31	-15.6	356.1	5.5	8.98E+15
NoCR	JdFa	235.015	43.745	8.75	0.615	-31.2	-15.6	356.1	5.5	8.92E+15
NoCR	JdFa	234.991	43.995	8.75	0.657	-31.4	-15.6	357.8	5.5	9.49E+15
NoCR	JdFa	234.978	44.245	8.75	0.657	-31.6	-15.6	357.8	5.5	9.56E+15
NoCR	JdFa	234.965	44.495	8.75	0.625	-31.8	-15.6	357.8	5.4	9.19E+15
NoCR	JdFa	234.951	44.745	8.75	0.625	-32	-15.7	357.9	5.4	9.27E+15
NoCR	JdFa	234.938	44.995	8.75	0.55	-32.2	-15.7	0	5.3	8.25E+15
NoCR	JdFa	234.938	45.242	8.75	0.55	-32.4	-15.7	0	5.1	8.58E+15
NoCR	JdFa	234.939	45.489	8.75	0.503	-32.6	-15.7	0	4.8	8.24E+15
NoCR	JdFa	234.939	45.736	8.75	0.503	-32.8	-15.7	0	4.6	8.64E+15
NoCR	JdFa	234.939	45.983	8.75	0.509	-33	-15.7	354.6	4.4	7.36E+15
NoCR	JdFa	234.918	46.135	8.75	0.509	-33.2	-15.7	354.6	4.2	5.84E+15
NoCR	JdFa	234.898	46.287	8.75	0.466	-33.3	-15.7	354.6	4.1	5.55E+15
NoCR	JdFa	234.877	46.439	8.75	0.466	-33.4	-15.7	354.7	3.9	5.75E+15
NoCR	JdFa	234.857	46.591	8.75	0.413	-33.5	-15.8	354.7	3.8	5.27E+15
NoCR	JdFa	234.836	46.743	8.75	0.413	-33.7	-15.8	354.7	3.7	5.45E+15
NoCR	JdFa	234.815	46.895	8.75	0.373	-33.8	-15.8	354.7	3.6	5.07E+15
Olym	JdFa	234.795	47.047	8.75	0.373	-37.3	-20.8	354.7	3.5	5.23E+15
Olym	JdFa	234.774	47.199	8.75	0.332	-37.7	-20.8	339.1	3.4	3.98E+15
Olym	JdFa	234.719	47.297	8.75	0.332	-38	-20.9	339.1	3.4	3.23E+15
Olym	JdFa	234.664	47.395	8.75	0.323	-38.2	-21.1	339.2	3.4	3.14E+15
Olym	JdFa	234.609	47.493	8.75	0.323	-38.5	-21.2	339.2	3.5	3.13E+15
Olym	JdFa	234.554	47.591	8.75	0.328	-38.7	-21.3	324.4	3.7	3.77E+15
Olym	JdFa	234.421	47.716	8.75	0.328	-39	-21.6	324.5	3.8	4.24E+15
Olym	JdFa	234.288	47.841	8.75	0.373	-39.3	-21.9	324.5	4.1	4.56E+15
Olym	JdFa	234.156	47.966	8.75	0.373	-39.6	-22.2	324.6	4.3	4.31E+15
Olym	JdFa	234.023	48.091	8.75	0.39	-39.9	-22.5	325.1	4.5	4.05E+15
Olym	JdFa	233.906	48.203	8.75	0.39	-40.1	-22.8	325.1	4.7	3.65E+15
Olym	JdFa	233.788	48.316	8.75	0.402	-40.4	-23	325.2	4.9	3.61E+15
Olym	JdFa	233.67	48.429	8.75	0.402	-40.6	-23.3	325.2	5.1	3.46E+15
Olym	JdFa	233.553	48.541	8.75	0.404	-40.9	-23.6	326.1	5.3	3.48E+15
Olym	JdFa	233.427	48.665	8.75	0.404	-41.2	-23.8	326.2	5.5	3.52E+15
Olym	JdFa	233.302	48.788	8.75	0.401	-41.5	-24.1	326.3	5.6	3.41E+15
Olym	JdFa	233.177	48.912	8.75	0.401	-41.7	-24.4	326.3	5.7	3.33E+15
Olym	JdFa	233.052	49.035	8.75	0.402	-42	-24.7	325.2	5.9	3.14E+15
Olym	JdFa	232.933	49.147	8.75	0.402	-42.3	-25	325.3	5.9	2.98E+15
Olym	JdFa	232.814	49.26	8.75	0.406	-42.5	-25.2	325.3	5.9	2.99E+15
Olym	JdFa	232.695	49.372	8.75	0.406	-42.8	-25.5	325.4	5.9	2.98E+15
NoVI	JdFa	232.577	49.484	8.75	0.406	-43.9	-25.9	325.4	6	1.49E+15
WCCR	JdFa	235.607	40.286	10	0.627	-23.2	-3.2	350.8	13.6	4.01E+15
WCCR	JdFa	235.562	40.5	10	0.627	-23.3	-2.7	350.8	12	8.25E+15
WCCR	JdFa	235.516	40.713	10	0.686	-23.4	-2.2	350.9	10.8	9.43E+15
ECCR	JdFa	235.471	40.926	10	0.686	-23.8	-9.8	350.9	9.8	9.84E+15
ECCR	JdFa	235.426	41.139	10	0.499	-23.6	-10.4	355.2	8.9	7.42E+15
ECCR	JdFa	235.402	41.353	10	0.499	-23.6	-10.9	355.2	9.1	7.40E+15
ECCR	JdFa	235.379	41.566	10	0.73	-23.7	-11.5	355.3	9.3	1.06E+16
SoCR	JdFa	235.355	41.779	10	0.73	-28	-14.1	355.3	9.5	1.04E+16
SoCR	JdFa	235.332	41.992	10	0.772	-28.2	-14.1	356.5	9.7	1.16E+16
SoCR	JdFa	235.311	42.242	10	0.772	-28.4	-14.1	356.5	10.1	1.22E+16
SoCR	JdFa	235.29	42.493	10	0.7	-28.6	-14.1	356.5	10.5	1.07E+16
SoCR	JdFa	235.27	42.743	10	0.7	-28.8	-14.1	356.5	11	1.04E+16
SoCR	JdFa	235.249	42.993	10	0.983	-29.1	-14.2	356	11.5	1.43E+16
SoCR	JdFa	235.225	43.243	10	0.983	-29.3	-14.2	356	11.5	1.41E+16
NoCR	JdFa	235.201	43.494	10	0.604	-31	-15.4	356	11.5	8.63E+15
NoCR	JdFa	235.176	43.744	10	0.604	-31.2	-15.4	356	11.6	8.59E+15
NoCR	JdFa	235.152	43.994	10	0.647	-31.4	-15.5	358.2	11.6	9.16E+15
NoCR	JdFa	235.141	44.244	10	0.647	-31.6	-15.5	358.2	11.6	9.17E+15
NoCR	JdFa	235.13	44.494	10	0.609	-31.8	-15.5	358.2	11.7	8.66E+15
NoCR	JdFa	235.119	44.744	10	0.609	-32	-15.5	358.2	11.7	8.68E+15
NoCR	JdFa	235.108	44.994	10	0.539	-32.2	-15.5	1.7	11.7	7.70E+15
NoCR	JdFa	235.119	45.24	10	0.539	-32.5	-15.5	1.7	11.6	7.86E+15
NoCR	JdFa	235.129	45.487	10	0.502	-32.7	-15.5	1.7	11.5	7.56E+15
NoCR	JdFa	235.14	45.733	10	0.502	-32.9	-15.5	1.7	11.4	7.79E+15
NoCR	JdFa	235.15	45.98	10	0.654	-33.1	-15.5	356.9	11.3	8.52E+15
NoCR	JdFa	235.138	46.136	10	0.654	-33.2	-15.5	356.9	10.9	6.84E+15
NoCR	JdFa	235.125	46.292	10	0.618	-33.3	-15.5	356.9	10.5	6.70E+15
NoCR	JdFa	235.113	46.448	10	0.618	-33.5	-15.5	356.9	10.2	6.94E+15
NoCR	JdFa	235.101	46.604	10	0.552	-33.6	-15.5	356.9	9.8	6.40E+15
NoCR	JdFa	235.089	46.76	10	0.552	-33.7	-15.5	356.9	9.5	6.61E+15
NoCR	JdFa	235.077	46.916	10	0.487	-33.8	-15.5	357	9.3	6.02E+15
Olym	JdFa	235.065	47.072	10	0.487	-37.5	-20.1	357	9	6.20E+15
Olym	JdFa	235.053	47.228	10	0.459	-37.9	-20.2	339.1	8.8	5.11E+15
Olym	JdFa	234.993	47.334	10	0.459	-38.1	-20.3	339.2	8.6	4.31E+15
Olym	JdFa	234.934	47.44	10	0.46	-38.4	-20.4	339.2	8.4	4.37E+15
Olym	JdFa	234.874	47.546	10	0.46	-38.7	-20.6	339.2	8.3	4.41E+15
Olym	JdFa	234.815	47.652	10	0.456	-38.9	-20.7	321.4	8.7	5.12E+15
Olym	JdFa	234.664	47.78	10	0.456	-39.2	-21.1	321.5	9.2	5.70E+15
Olym	JdFa	234.513	47.907	10	0.459	-39.5	-21.4	321.5	9.6	5.45E+15
Olym	JdFa	234.362	48.034	10	0.459	-39.8	-21.7	321.6	10.1	5.17E+15
Olym	JdFa	234.211	48.162	10	0.454	-40.1	-22.1	322.9	10.6	4.56E+15
Olym	JdFa	234.082	48.275	10	0.454	-40.4	-22.4	323	11.1	4.06E+15
Olym	JdFa	233.954	48.388	10	0.454	-40.6	-22.7	323	11.6	3.89E+15
Olym	JdFa	233.826	48.501	10	0.454	-40.9	-22.9	323.1	12.1	3.71E+15
Olym	JdFa	233.697	48.615	10	0.447	-41.1	-23.2	325.2	12.7	3.60E+15
Olym	JdFa	233.569	48.736	10	0.447	-41.4	-23.5	325.3	13	3.58E+15
Olym	JdFa	233.441	48.858	10	0.444	-41.7	-23.8	325.3	13.4	3.47E+15
Olym	JdFa	233.313	48.98	10	0.444	-42	-24.1	325.4	13.7	3.38E+15
Olym	JdFa	233.185	49.102	10	0.442	-42.2	-24.4	325.1	14.1	3.18E+15
Olym	JdFa	233.065	49.214	10	0.442	-42.5	-24.7	325.2	14.3	3.02E+15
Olym	JdFa	232.945	49.327	10	0.441	-42.7	-24.9	325.2	14.5	2.98E+15
Olym	JdFa	232.825	49.44	10	0.441	-43	-25.2	325.3	14.6	2.95E+15
NoVI	JdFa	232.705	49.552	10	0.441	-44.1	-25.7	325.3	14.8	1.47E+15
WCCR	JdFa	235.734	40.249	12.5	0.54	-25.3	-3.3	354.3	13.3	2.91E+15
WCCR	JdFa	235.705	40.466	12.5	0.54	-25.7	-2.8	354.3	11.8	6.27E+15
WCCR	JdFa	235.677	40.682	12.5	0.709	-26.2	-2.3	354.3	10.6	9.17E+15
ECCR	JdFa	235.648	40.899	12.5	0.709	-25.4	-9.1	354.3	9.6	1.01E+16
ECCR	JdFa	235.62	41.116	12.5	0.521	-25.3	-9.7	354.6	9	8.00E+15
ECCR	JdFa	235.592	41.334	12.5	0.521	-25.3	-10.3	354.6	9.1	8.03E+15
SoCR	JdFa	235.565	41.553	12.5	0.68	-27.8	-13.8	354.6	9.3	1.03E+16
SoCR	JdFa	235.537	41.771	12.5	0.68	-28	-13.9	354.7	9.5	1.01E+16
SoCR	JdFa	235.51	41.99	12.5	0.534	-28.2	-13.9	355.4	9.7	8.28E+15
